rep,id,b01,b11,b21,a1,p1,g1,p2,g2,alpha11,alpha21,eta_b01,eta_b11,eta_b21,eta_a1,eta_p1,eta_g1,eta_p2,eta_g2,eta_alpha11,eta_alpha21
3,15,5.87356692205016,-0.0820593083712641,-0.178176212181238,4.85996454548752,0.132040342511762,0.14457678989623,0.783259755123488,0.0815014313463103,0.0982680003929456,-0.0972145204052279,1.16431879296551,0.0386296737531466,-0.0160885024073504,0.369734737705282,0,0,0,0,0,0
1,16,5.39627348834176,-0.088941142884782,-0.241524745330492,0.898090710799089,0.132040342511762,0.14457678989623,0.783259755123488,0.0815014313463103,0.0982680003929456,-0.0972145204052279,0.687025359257103,0.0317478392396287,-0.0794370355566036,-1.31878060654198,0,0,0,0,0,0
2,16,7.43068370111423,-0.121196722764293,-0.196354238324689,3.27003367192099,0.132040342511762,0.14457678989623,0.783259755123488,0.0815014313463103,0.0982680003929456,-0.0972145204052279,2.72143557202958,-0.000507740639882334,-0.034266528550801,-0.0264961229336438,0,0,0,0,0,0
3,16,7.49223902126827,0.00708191859703962,-0.0265123172489121,4.37299283659732,0.132040342511762,0.14457678989623,0.783259755123488,0.0815014313463103,0.0982680003929456,-0.0972145204052279,2.78299089218362,0.12777090072145,0.135575392524976,0.264151229318079,0,0,0,0,0,0
1,17,5.80798191574162,-0.124346554355431,-0.196354934024986,0.491584585726601,0.132040342511762,0.14457678989623,0.783259755123488,0.0815014313463103,0.0982680003929456,-0.0972145204052279,1.09873378665697,-0.00365757223102078,-0.0342672242510983,-1.92141766211129,0,0,0,0,0,0
2,17,5.83304006983596,-0.174106874844258,-0.289380891800442,0.752954052750717,0.132040342511762,0.14457678989623,0.783259755123488,0.0815014313463103,0.0982680003929456,-0.0972145204052279,1.12379194075131,-0.053417892719847,-0.127293182026554,-1.49504747698066,0,0,0,0,0,0
3,17,5.47800718114865,-0.137812656339506,-0.240334539802218,1.4710959429633,0.132040342511762,0.14457678989623,0.783259755123488,0.0815014313463103,0.0982680003929456,-0.0972145204052279,0.768759052063993,-0.0171236742150949,-0.0782468300283303,-0.825288742568337,0,0,0,0,0,0
1,18,3.07960840482818,-0.107404961678527,-0.11467353873932,8.07741465720509,0.132040342511762,0.14457678989623,0.783259755123488,0.0815014313463103,0.0982680003929456,-0.0972145204052279,-1.62963972425648,0.0132840204458833,0.0474141710345682,0.877775448151247,0,0,0,0,0,0
2,18,2.90669586549611,-0.283348556117649,-0.125987849911258,5.98149211776619,0.132040342511762,0.14457678989623,0.783259755123488,0.0815014313463103,0.0982680003929456,-0.0972145204052279,-1.80255226358854,-0.162659573993238,0.0360998598626302,0.577373649845865,0,0,0,0,0,0
3,18,2.57702986021386,-0.0171500927136469,0.0147616967127627,11.2881626759883,0.132040342511762,0.14457678989623,0.783259755123488,0.0815014313463103,0.0982680003929456,-0.0972145204052279,-2.13221826887079,0.103538889410764,0.176849406486651,1.21245822084264,0,0,0,0,0,0
1,19,7.62895535136932,-0.251578354089889,-0.0658195682426156,1.82632626833212,0.132040342511762,0.14457678989623,0.783259755123488,0.0815014313463103,0.0982680003929456,-0.0972145204052279,2.91970722228467,-0.130889371965478,0.0962681415312726,-0.608989959539956,0,0,0,0,0,0
2,19,7.59415970372048,-0.208811605580453,-0.0752337441917574,3.86489169479899,0.132040342511762,0.14457678989623,0.783259755123488,0.0815014313463103,0.0982680003929456,-0.0972145204052279,2.88491157463582,-0.0881226234560427,0.0868539655821308,0.140637254589181,0,0,0,0,0,0
3,19,8.11068983875477,-0.0181404526514681,-0.129812300453244,1.83792003966364,0.132040342511762,0.14457678989623,0.783259755123488,0.0815014313463103,0.0982680003929456,-0.0972145204052279,3.40144170967012,0.102548529472943,0.0322754093206438,-0.602661886017655,0,0,0,0,0,0
1,20,1.43357044281285,-0.0553550507675738,-0.103505254794735,2.02072579762626,0.132040342511762,0.14457678989623,0.783259755123488,0.0815014313463103,0.0982680003929456,-0.0972145204052279,-3.2756776862718,0.0653339313568369,0.0585824549791534,-0.507839652379499,0,0,0,0,0,0
2,20,1.72868261853954,-0.113857674083469,-0.161686939859486,1.92839229781242,0.132040342511762,0.14457678989623,0.783259755123488,0.0815014313463103,0.0982680003929456,-0.0972145204052279,-2.98056551054512,0.00683130804094163,0.000400769914402604,-0.5546097555539,0,0,0,0,0,0
3,20,1.67956559717666,0.0231258046722967,-0.135701784318864,2.56109624009016,0.132040342511762,0.14457678989623,0.783259755123488,0.0815014313463103,0.0982680003929456,-0.0972145204052279,-3.02968253190799,0.143814786796707,0.026385925455024,-0.270861019396141,0,0,0,0,0,0
1,21,4.19082314809716,-0.0728426376809408,-0.144627934239659,8.45076929416033,0.132040342511762,0.14457678989623,0.783259755123488,0.0815014313463103,0.0982680003929456,-0.0972145204052279,-0.51842498098749,0.0478463444434698,0.0174597755342289,0.922961072940826,0,0,0,0,0,0
2,21,4.38503678717868,-0.124711149339178,-0.212180849888148,10.1452007530341,0.132040342511762,0.14457678989623,0.783259755123488,0.0815014313463103,0.0982680003929456,-0.0972145204052279,-0.324211341905978,-0.00402216721476707,-0.0500931401142597,1.10570435644068,0,0,0,0,0,0
3,21,4.73334475955686,-0.197686453677418,-0.293908157727319,9.14391344371199,0.132040342511762,0.14457678989623,0.783259755123488,0.0815014313463103,0.0982680003929456,-0.0972145204052279,0.0240966304722079,-0.0769974715530072,-0.13182044795343,1.00179205552361,0,0,0,0,0,0
