id,eta_b02_SAEM,eta_b12_SAEM,eta_b03_SAEM,eta_b13_SAEM,eta_b04_SAEM,eta_b14_SAEM,eta_b07_SAEM,eta_b17_SAEM,eta_p1_SAEM,eta_g1_SAEM,eta_p2_SAEM,eta_g2_SAEM,eta_alpha12_SAEM,eta_alpha13_SAEM,eta_alpha14_SAEM,eta_alpha17_SAEM,eta_alpha22_SAEM,eta_alpha23_SAEM,eta_alpha24_SAEM,eta_alpha27_SAEM
147,-0.0259055,8.34507e-05,-1.3849,0.0651882,-0.596837,0.0320621,-145.831,-1.52011,0,0,0,0,0,0,0,0,0,0,0,0
148,0.00558094,0.000715881,0.260586,0.00261808,0.549439,0.0152262,17.8094,-0.109995,0,0,0,0,0,0,0,0,0,0,0,0
149,0.0427911,-0.00186687,-0.523739,-0.0413415,-2.602,-0.112159,41.38,-5.24305,0,0,0,0,0,0,0,0,0,0,0,0
150,0.00641127,0.00159415,-1.09354,0.00939955,3.5389,0.0093906,-58.1238,-0.380887,0,0,0,0,0,0,0,0,0,0,0,0
151,0.0280247,0.000701474,0.10216,-0.00695402,3.39888,0.0395982,-9.72059,-0.837734,0,0,0,0,0,0,0,0,0,0,0,0
152,0.0523571,0.00557097,0.934194,0.0426737,0.878352,-0.0110591,87.769,-0.926193,0,0,0,0,0,0,0,0,0,0,0,0
153,0.0135903,0.000999574,-0.386775,-0.00448776,-2.32002,0.000652679,121.034,-0.0965006,0,0,0,0,0,0,0,0,0,0,0,0
154,-0.0591165,-0.00327198,-0.585003,-0.144355,-0.633513,0.0106975,126.864,-0.372707,0,0,0,0,0,0,0,0,0,0,0,0
155,-0.0217928,0.00191404,-0.598768,0.0412876,1.37674,-0.00985214,-142.327,2.67799,0,0,0,0,0,0,0,0,0,0,0,0
156,-0.0303749,-0.0084153,-0.497605,0.262955,-0.129963,-0.108455,-119.073,2.10646,0,0,0,0,0,0,0,0,0,0,0,0
