id,eta_b01_SAEM,eta_b11_SAEM,eta_b21_SAEM,eta_a1_SAEM,eta_p1_SAEM,eta_g1_SAEM,eta_p2_SAEM,eta_g2_SAEM,eta_alpha11_SAEM,eta_alpha21_SAEM
271,-2.7944,-0.00707144,0.00226803,0.0348681,0,0,0,0,0,0
272,0.579135,-0.0311044,0.00206091,-0.272663,0,0,0,0,0,0
273,0.613492,0.0624491,-0.0156472,0.176992,0,0,0,0,0,0
274,-2.08563,0.0184386,-0.00518749,0.250576,0,0,0,0,0,0
275,-0.139674,-0.00967113,-0.00232988,-0.128458,0,0,0,0,0,0
276,-2.11728,-0.00112677,0.0972992,0.667474,0,0,0,0,0,0
277,-0.956982,0.0161123,-0.0111618,0.000431753,0,0,0,0,0,0
278,2.20228,-0.00819629,-2.94012e-06,-0.00228247,0,0,0,0,0,0
279,2.20782,0.00556568,-0.0137979,-0.262474,0,0,0,0,0,0
280,0.354203,0.0352511,-0.0280291,-0.00630331,0,0,0,0,0,0
281,0.352513,-0.00970408,-0.0082632,-0.147285,0,0,0,0,0,0
282,2.57596,0.00785389,0.000491004,-0.0880571,0,0,0,0,0,0
283,-2.39071,-0.152064,0.0523185,0.644581,0,0,0,0,0,0
284,0.560379,0.0123189,-0.0108318,-0.241552,0,0,0,0,0,0
285,0.258443,-0.0609901,0.073063,0.934226,0,0,0,0,0,0
286,-0.0730108,-0.0821538,0.0184389,0.156661,0,0,0,0,0,0
287,1.90882,-0.107879,0.0244048,0.449907,0,0,0,0,0,0
288,-0.794879,0.0095308,-0.0022198,-0.148754,0,0,0,0,0,0
289,2.26105,0.020183,-0.0252604,-0.070117,0,0,0,0,0,0
290,0.94405,-0.0255395,0.0124795,-0.368536,0,0,0,0,0,0
291,0.841893,-0.00891065,0.00058375,-0.02575,0,0,0,0,0,0
292,1.21607,0.0362041,-0.00999264,-0.183019,0,0,0,0,0,0
293,-0.531479,-0.143718,0.0709473,2.03174,0,0,0,0,0,0
294,-0.453326,-0.006947,-0.00542387,-0.199657,0,0,0,0,0,0
295,1.42725,-0.022783,-0.0107831,-0.355552,0,0,0,0,0,0
296,-0.784902,0.00514291,-0.013234,-0.171493,0,0,0,0,0,0
297,-1.34128,-0.007663,1.81505e-05,-0.0272026,0,0,0,0,0,0
298,1.80714,0.0271968,-0.0163654,-0.117367,0,0,0,0,0,0
299,-0.517604,0.0171966,-0.0108139,-0.28749,0,0,0,0,0,0
300,-0.0708091,-0.00473787,0.00394039,-0.236095,0,0,0,0,0,0
