rep,id,eta_b02,eta_b12,eta_b03,eta_b13,eta_p1,eta_g1,eta_p2,eta_g2,eta_alpha12,eta_alpha13,eta_alpha22,eta_alpha23
1,35,0.0328057448330208,0.0102110476391888,-0.487226597441354,-0.0505131981360379,0,0,0,0,0,0,0,0
2,35,0.0111996096498119,0.0121958995746663,-0.6165733027043,-0.0572201242410168,0,0,0,0,0,0,0,0
3,35,0.0326242287287357,0.00993965606761909,-0.0833584843767463,-0.0903917951479929,0,0,0,0,0,0,0,0
1,36,-0.00729016870874144,-0.000323656965552698,-1.5479423514768,0.0412396406916293,0,0,0,0,0,0,0,0
2,36,0.0217083988090128,-0.0033408731303151,-1.67134700726695,0.0202243036760538,0,0,0,0,0,0,0,0
3,36,-0.00679014586928695,0.00057666986853453,-1.90122224416196,0.109114524631148,0,0,0,0,0,0,0,0
1,37,-0.0509514504059556,0.00169563315445356,0.277300210130933,0.0118527722146969,0,0,0,0,0,0,0,0
2,37,-0.0443955637705287,-0.00481750283566792,0.300301567331602,0.140305715057144,0,0,0,0,0,0,0,0
3,37,-0.0528676583334446,-0.00380110595020254,-0.0528858720910783,0.0721670497657205,0,0,0,0,0,0,0,0
1,38,-0.0461746245011074,0.000365802177744094,-0.489143835240343,0.248804157892924,0,0,0,0,0,0,0,0
2,38,-0.00563900307157628,-0.00224605930876102,0.642240393428806,-0.000153217118170138,0,0,0,0,0,0,0,0
3,38,-0.0610824010961375,0.00363991062027816,0.821943698252055,-0.0169374595204104,0,0,0,0,0,0,0,0
1,39,0.0237428353371856,0.008978020012979,-1.09120004608466,0.0923503907015891,0,0,0,0,0,0,0,0
2,39,0.0509758440702477,0.00463344244805608,0.0911180585220412,-0.104327292312996,0,0,0,0,0,0,0,0
3,39,0.0336053508043603,0.0108093542637429,-0.20762252355998,-0.0236462628600177,0,0,0,0,0,0,0,0
1,40,-0.0489022797147216,-0.00155838540277827,0.667843011751607,0.135093162671085,0,0,0,0,0,0,0,0
2,40,-0.0446079348336967,-0.00408475878090793,0.875724760249795,0.0528768075830258,0,0,0,0,0,0,0,0
3,40,-0.0227689129943291,-0.00740046676705934,1.20556174264148,0.018038534544661,0,0,0,0,0,0,0,0
1,41,-0.0143525511342721,-0.00260413609767436,-1.7635242908857,-0.193231260066421,0,0,0,0,0,0,0,0
2,41,-0.00389256260231097,-0.00325896294816598,-1.76233812894361,-0.176185491171992,0,0,0,0,0,0,0,0
3,41,5.70528800700743e-05,-0.00439943969818274,-2.08908776441131,-0.149929025035312,0,0,0,0,0,0,0,0
1,42,0.0333475903936238,-0.00329240058354748,-0.256796771398187,-0.0624032001292925,0,0,0,0,0,0,0,0
2,42,-0.00319063355722271,-0.000268531688727571,-0.232750014031308,0.00864293771333903,0,0,0,0,0,0,0,0
3,42,0.0505070575935855,-0.000471143742906375,-0.194439639594333,-0.0366442426733478,0,0,0,0,0,0,0,0
1,43,0.0011478070438562,-0.00585651999443434,-0.99963785402699,-0.0685673149935662,0,0,0,0,0,0,0,0
2,43,0.0365059394059086,-0.00697999020551861,-1.39626112651883,-0.0519034743419787,0,0,0,0,0,0,0,0
3,43,0.0214264365083672,-0.00621471229079117,-1.29027515692742,-0.0414491815464233,0,0,0,0,0,0,0,0
1,44,0.00830376715937842,0.00258243081492869,-0.740022014752175,0.394044677187383,0,0,0,0,0,0,0,0
2,44,0.0333150275314482,0.0058958202462423,0.403712609660513,-0.0179422540382809,0,0,0,0,0,0,0,0
3,44,0.0320517462643233,-0.00180440122344912,-0.323519435603442,0.145515698042124,0,0,0,0,0,0,0,0
1,45,0.0229537614079334,0.00604764385369477,0.577712198762318,0.156150454793799,0,0,0,0,0,0,0,0
2,45,-0.00473212234622,0.00731007639199622,0.22901792259771,0.190552344804295,0,0,0,0,0,0,0,0
3,45,0.0156787614461189,0.00723848745444572,0.61870821680582,0.170257041616525,0,0,0,0,0,0,0,0
1,46,-0.0503134695981871,-0.00269604896429641,0.471619225334115,0.0112022063530082,0,0,0,0,0,0,0,0
2,46,-0.0385408530830427,-0.01012055330683,-0.496744001397596,-0.181331868794348,0,0,0,0,0,0,0,0
3,46,-0.0601832200411456,0.00585791499164375,-0.692074347519691,0.263342666369454,0,0,0,0,0,0,0,0
1,47,-0.0319676124020116,0.00185132875932391,-1.07348322568776,0.100226100541709,0,0,0,0,0,0,0,0
2,47,-0.036757491392966,-0.00271547299114125,-0.996647614966813,0.0779824742692812,0,0,0,0,0,0,0,0
3,47,0.00391569753899113,-0.0110125432257191,-0.663428372387428,0.114132192462393,0,0,0,0,0,0,0,0
1,48,-0.0762586901664886,-0.00909437755616563,-0.896601145093565,-0.0584378816920672,0,0,0,0,0,0,0,0
2,48,-0.074921196091716,-0.00525870467674869,-1.28759000745969,0.0372480185624665,0,0,0,0,0,0,0,0
3,48,-0.0963055452177297,0.0041074601774315,-0.210967329537053,0.00270595925796015,0,0,0,0,0,0,0,0
1,49,0.0165649785073381,-0.00388731730373197,-0.450416318722235,0.224170977733695,0,0,0,0,0,0,0,0
2,49,-0.00846321945764572,-0.00488622667385874,0.359962784905516,0.201722341514522,0,0,0,0,0,0,0,0
3,49,0.0217096268179962,-0.00486442320603138,-0.157325704775717,0.229486434467353,0,0,0,0,0,0,0,0
1,50,-0.0532171784959221,0.00292713246896095,0.222251516351417,0.269121013746511,0,0,0,0,0,0,0,0
2,50,-0.0367537736581314,0.000121817662936997,-0.540092444798504,0.321590278779872,0,0,0,0,0,0,0,0
3,50,-0.04449259544407,0.00198255385953426,-0.533919905711705,0.318305718946456,0,0,0,0,0,0,0,0
