"rep"	"id"	"b03"	"b13"	"b06"	"b16"	"h1"	"h2"	"alpha13"	"alpha16"	"alpha23"	"alpha26"	"hcov1"	"hcov2"
1	"192"	4.67031136339749	-0.308544180276263	88.802779626536	0.018756741185298	6.094896e-05	0.07420449	0.7738989	1.00079	-0.1474082	-0.211755	2.5521125	-0.703329
1	"194"	6.00389910112142	-0.0982738112101867	93.3656403571734	-0.057073654758821	6.094896e-05	0.07420449	0.7738989	1.00079	-0.1474082	-0.211755	3.5729575	-0.9846606
1	"196"	3.69247274663283	-0.273859217278693	91.3637122842847	0.0357816740362465	6.094896e-05	0.07420449	0.7738989	1.00079	-0.1474082	-0.211755	3.5729575	-0.9846606
1	"197"	4.18665443723557	-0.153586274064457	89.5253689224137	0.0689643918086715	6.094896e-05	0.07420449	0.7738989	1.00079	-0.1474082	-0.211755	2.04169	-0.5626632
1	"199"	2.82392898015478	-0.251068210911352	95.0407099635964	-0.0925301766974055	6.094896e-05	0.07420449	0.7738989	1.00079	-0.1474082	-0.211755	6.12507	-1.6879896
1	"200"	3.68635136723525	-0.149171396230169	87.8932691796325	-0.167960084116768	6.094896e-05	0.07420449	0.7738989	1.00079	-0.1474082	-0.211755	1.5312675	-0.4219974
1	"202"	3.65332040682435	-0.138106972895814	89.8519053236723	-0.0540586694793935	6.094896e-05	0.07420449	0.7738989	1.00079	-0.1474082	-0.211755	5.104225	-1.406658
1	"203"	4.39167810823949	0.191627849823564	95.3633108378411	0.0457214242676606	6.094896e-05	0.07420449	0.7738989	1.00079	-0.1474082	-0.211755	4.08338	-1.1253264
1	"204"	4.20590578510547	-0.122966164821228	93.8613239880903	-0.204792933745225	6.094896e-05	0.07420449	0.7738989	1.00079	-0.1474082	-0.211755	5.104225	-1.406658
1	"206"	5.67617896815456	-0.169480562178593	95.7536772346928	-0.186593721074456	6.094896e-05	0.07420449	0.7738989	1.00079	-0.1474082	-0.211755	0	0
1	"208"	4.75163068964559	0.0598237652353914	93.295568879551	-0.0919207497278203	6.094896e-05	0.07420449	0.7738989	1.00079	-0.1474082	-0.211755	3.062535	-0.8439948
1	"209"	3.82759424455702	-0.183521530938717	95.8692173775283	-0.00530005856063369	6.094896e-05	0.07420449	0.7738989	1.00079	-0.1474082	-0.211755	3.5729575	-0.9846606
1	"212"	3.6731222866115	-0.174053897069806	95.2577074617209	0.106803157215771	6.094896e-05	0.07420449	0.7738989	1.00079	-0.1474082	-0.211755	3.5729575	-0.9846606
1	"214"	4.24822835869872	0.0151787033512729	90.9943688179556	-0.0507690946983816	6.094896e-05	0.07420449	0.7738989	1.00079	-0.1474082	-0.211755	5.104225	-1.406658
1	"216"	3.90943032787144	-0.483114604005958	94.1002117122715	-0.12711605374624	6.094896e-05	0.07420449	0.7738989	1.00079	-0.1474082	-0.211755	6.12507	-1.6879896
1	"217"	3.87138101380261	-0.18258881617232	89.7721574109287	-0.120608888172241	6.094896e-05	0.07420449	0.7738989	1.00079	-0.1474082	-0.211755	4.5938025	-1.2659922
1	"218"	5.72541633589337	-0.0517805467993825	95.6754189634548	-0.0727576683220017	6.094896e-05	0.07420449	0.7738989	1.00079	-0.1474082	-0.211755	3.062535	-0.8439948
1	"220"	4.39846268257712	-0.279261610950588	93.5172799697172	0.145329031521203	6.094896e-05	0.07420449	0.7738989	1.00079	-0.1474082	-0.211755	2.04169	-0.5626632
