rep,id,eta_b02,eta_b12,eta_b03,eta_b13,eta_b07,eta_b17,eta_p1,eta_g1,eta_p2,eta_g2,eta_alpha12,eta_alpha13,eta_alpha17,eta_alpha22,eta_alpha23,eta_alpha27
1,34,0.0472670821941374,0.00598314159043766,-0.34611363784539,0.0568327421673458,-53.4527574750504,-3.873883711821,0,0,0,0,0,0,0,0,0,0
2,34,0.0112122777410111,0.00722353503208709,0.392078199567425,0.0491535685172584,-79.0167632829665,-0.797721158391951,0,0,0,0,0,0,0,0,0,0
3,34,0.00272438633394589,0.00994543183130327,-0.0474335762902331,0.0567321188833504,-117.301898483803,-1.64017447325825,0,0,0,0,0,0,0,0,0,0
1,35,-0.0176998963044159,0.010738524449001,-0.739701138611113,-0.0814365269768541,-136.927770903686,-7.61183801654626,0,0,0,0,0,0,0,0,0,0
2,35,-0.00590211054181111,0.00242561020803071,0.069655427795186,-0.120409355081657,-134.428616407847,-4.27981230492238,0,0,0,0,0,0,0,0,0,0
3,35,0.0130703124058877,0.00408782526430734,0.0613520697233501,-0.132678122922622,-115.516762774567,-0.78103315304848,0,0,0,0,0,0,0,0,0,0
1,36,0.0355638715470299,-0.00532893310163248,-0.393655426103785,-0.00115352569881846,-36.08012260371,-5.49918451387502,0,0,0,0,0,0,0,0,0,0
2,36,0.0122138430560756,-0.00508473702687457,-0.848728947422736,0.0190232044488501,-59.3644530565472,-4.53780623304774,0,0,0,0,0,0,0,0,0,0
3,36,0.0376081981910064,-0.00624533233511149,-0.531718492333017,0.00518882245550675,-30.3032655483544,-5.58000537562125,0,0,0,0,0,0,0,0,0,0
1,37,0.0523099369094453,0.00860851928115422,1.07175663109784,-0.098216942628796,169.082770608426,-5.05030938779786,0,0,0,0,0,0,0,0,0,0
2,37,0.0591396206770112,-0.000938296488617471,1.3109280614141,-0.225238130400493,63.270275407985,9.43387446407766,0,0,0,0,0,0,0,0,0,0
3,37,0.0156847973270269,-0.00476226374231807,0.464162209748022,-0.12151328203046,100.739213841482,-3.43711588224768,0,0,0,0,0,0,0,0,0,0
1,38,0.0332104527173467,-0.00470625243564452,-0.621968888268694,0.0554540424219503,39.5923075658205,2.86917671568308,0,0,0,0,0,0,0,0,0,0
2,38,0.0399834250067492,-0.00511935278180778,-0.977335982447276,0.0404675796239512,79.7216289330013,0.894950895823437,0,0,0,0,0,0,0,0,0,0
3,38,0.0373254649571031,-0.00463895185956759,-1.21088049598595,0.0597963977647577,134.154629362417,-0.384771199858809,0,0,0,0,0,0,0,0,0,0
1,39,-0.0427660297618857,0.00354101320083813,-0.008665282633042,0.149776710925889,7.98795149995732,2.29971138202264,0,0,0,0,0,0,0,0,0,0
2,39,-0.0257810466563271,0.00348752337708806,0.127197547059671,0.0552980263782236,38.8489634487204,-2.12263722306079,0,0,0,0,0,0,0,0,0,0
3,39,-0.00979921757849311,0.00133475191265951,0.203618549878207,0.0843771943479744,35.8694658791276,1.54040575179696,0,0,0,0,0,0,0,0,0,0
