id,b02_SAEM,b12_SAEM,b03_SAEM,b13_SAEM,b04_SAEM,b14_SAEM,p1_SAEM,g1_SAEM,p2_SAEM,g2_SAEM,alpha12_SAEM,alpha13_SAEM,alpha14_SAEM,alpha22_SAEM,alpha23_SAEM,alpha24_SAEM
131,7.43079,0.0003898,2.69296,-0.256378,7.77319,0.0187938,0.0851436,0.127286,0.726596,0.134247,-5.86556,0.365866,-0.070482,-4.03621e-11,-0.137197,0.0771229
132,7.45338,0.00172309,2.49442,-0.0591211,9.07169,0.00900032,0.0851436,0.127286,0.726596,0.134247,-5.86556,0.365866,-0.070482,-4.03621e-11,-0.137197,0.0771229
133,7.37028,0.00131537,3.86167,-0.203745,2.70524,0.0155727,0.0851436,0.127286,0.726596,0.134247,-5.86556,0.365866,-0.070482,-4.03621e-11,-0.137197,0.0771229
134,7.37845,0.00410554,4.65803,-0.247058,5.71348,0.0163491,0.0851436,0.127286,0.726596,0.134247,-5.86556,0.365866,-0.070482,-4.03621e-11,-0.137197,0.0771229
135,7.42996,0.0031423,4.52436,-0.176917,5.74679,0.0261202,0.0851436,0.127286,0.726596,0.134247,-5.86556,0.365866,-0.070482,-4.03621e-11,-0.137197,0.0771229
136,7.38708,0.00132467,4.03397,-0.166737,4.82927,-0.0200173,0.0851436,0.127286,0.726596,0.134247,-5.86556,0.365866,-0.070482,-4.03621e-11,-0.137197,0.0771229
137,7.38135,0.00236332,5.03774,-0.132296,2.92393,0.0175636,0.0851436,0.127286,0.726596,0.134247,-5.86556,0.365866,-0.070482,-4.03621e-11,-0.137197,0.0771229
138,7.35594,0.00334332,4.20542,-0.0675363,4.27724,-0.0102058,0.0851436,0.127286,0.726596,0.134247,-5.86556,0.365866,-0.070482,-4.03621e-11,-0.137197,0.0771229
139,7.44905,0.00397568,4.07823,-0.194898,6.29965,0.0247345,0.0851436,0.127286,0.726596,0.134247,-5.86556,0.365866,-0.070482,-4.03621e-11,-0.137197,0.0771229
140,7.36254,0.00309968,3.52497,-0.133673,5.18491,0.0272743,0.0851436,0.127286,0.726596,0.134247,-5.86556,0.365866,-0.070482,-4.03621e-11,-0.137197,0.0771229
